,Okrug,Площадь км²1.07.2012[4][5],% отобщейплощади,Местопоплощади,Населениечел. 01.01.2022[6],% отобщегонаселения,Место понаселению,Плотностьнаселениячел. / км²01.01.2022,Место поплотностинаселения
0,Восточный,"154,84","6,13 %",3,↘1 514 420[6],11.99,2,"9780,83",8
1,Западный,"153,03","6,06 %",4,↘1 383 853[6],10.95,6,"9042,76",9
2,Зеленоградский,"37,2","1,47 %",12,↗253 687[6],2.01,11,"6819,56",10
3,Новомосковский,"361,36","14,30 %",2,↗300 375[6],2.38,10,"831,23",11
4,Северный,"113,73","4,50 %",7,↘1 175 229[6],9.3,7,"10333,86",7
5,Северо-Восточный,"101,88","4,03 %",9,↘1 427 597[6],11.3,4,"14012,12",1
6,Северо-Западный,"93,28","3,69 %",10,↘1 009 217[6],7.99,8,"10819,11",6
7,Троицкий,"1084,34","42,92 %",1,↗142 767[6],1.13,12,"131,66",12
8,Центральный,"66,18","2,62 %",11,↘779 086[6],6.17,9,"11773,03",5
9,Юго-Восточный,"117,56","4,65 %",6,↗1 432 839[6],11.34,5,"12188,18",4
10,Юго-Западный,"111,36","4,41 %",8,↘1 442 971[6],11.42,3,"12957,46",3
11,Южный,"131,77","5,22 %",5,↘1 773 425[6],14.04,1,"13458,19",2
